Vehicle Model,Battery Capacity (kWh),Charging Station Location,Energy Consumed (kWh),Charging Rate (kW),Charging Time Difference (minutes),Time of Day,Day of Week,State of Charge (Start %),State of Charge (End %),Distance Driven (since last charge) (km),Temperature (°C),Vehicle Age (years),Charger Type,User Type,Energy per 100 km (kWh/100 km),Charging Cost (USD),Long Session
Chevy Bolt,75,Houston,43.48775122,25.68237188,33,Afternoon,Thursday,88.74847907,100,80.91266512,29.87220987,0.361215166,Level 1,Commuter,53.74653172,5.653407659,Normal
Nissan Leaf,50,San Francisco,10.33851772,45.77673119,193,Night,Sunday,98.33279531,100,162.6865444,5.504758728,0,Level 1,Long-Distance Traveler,6.354869583,1.344007304,Normal
BMW i3,75,Los Angeles,31.68448459,48.64872319,35,Afternoon,Friday,34.7276391,76.97361855,152.259867,20.37856231,3,Level 2,Casual Driver,20.8094787,7.921121148,Normal
BMW i3,75,Chicago,56.59325686,45.811731,178,Afternoon,Friday,29.2076717,100,186.1557321,12.33341537,0,DC Fast Charger,Casual Driver,30.40102833,22.63730274,Normal
Chevy Bolt,100,New York,19.4738006,7.043936342,234,Afternoon,Wednesday,31.32078698,50.79458758,152.259867,8.352906077,2,DC Fast Charger,Casual Driver,12.78984474,7.78952024,Long Session
BMW i3,100,Chicago,38.28919934,37.56439146,147,Evening,Wednesday,75.64477848,100,238.909311,2.273162901,6,Level 1,Commuter,16.02666685,4.977595914,Long Session
BMW i3,100,New York,16.13623873,21.51781505,118,Evening,Monday,23.60399143,39.74023016,35.50388319,39.38401392,1,Level 2,Casual Driver,45.4492221,4.034059683,Long Session
Tesla Model 3,62,Houston,60.06708509,7.651570047,183,Afternoon,Monday,22.88146663,100,46.35755886,13.99159748,1,Level 2,Casual Driver,129.573443,15.01677127,Long Session
Chevy Bolt,75,Houston,57.72437946,4.485647105,212,Afternoon,Friday,41.87247964,100,157.614654,28.42980738,1.809172868,DC Fast Charger,Long-Distance Traveler,36.62373897,23.08975178,Long Session
Hyundai Kona,75,New York,37.37451606,18.86580196,196,Evening,Tuesday,24.49220858,74.32489666,76.20353922,59.93197387,4,Level 1,Commuter,49.04564334,4.858687088,Long Session
Chevy Bolt,75,Chicago,39.94056362,28.62519933,190,Evening,Thursday,85.8575558,100,102.4303022,31.46130902,1,DC Fast Charger,Casual Driver,38.99291789,15.97622545,Long Session
Hyundai Kona,75,New York,73.38661952,38.4508319,43,Night,Wednesday,49.27538753,100,42.09574394,33.92957037,6,DC Fast Charger,Long-Distance Traveler,174.3326347,29.35464781,Normal
Tesla Model 3,85,Los Angeles,61.52075986,38.01024896,85,Afternoon,Monday,87.98462138,100,141.2437535,5.761050674,7,Level 2,Commuter,43.55644645,15.38018997,Normal
Nissan Leaf,100,Houston,68.17785004,23.31161908,110,Morning,Thursday,17.04042002,85.21827006,130.3760138,-3.191455366,2,Level 2,Long-Distance Traveler,52.29324633,17.04446251,Long Session
BMW i3,79.79920376,Los Angeles,67.51805822,6.89787833,178,Night,Sunday,80.86258863,100,119.6309923,35.23315849,1.969232722,Level 2,Casual Driver,56.43860082,16.87951456,Long Session
Tesla Model 3,100,Houston,39.39874236,20.46036487,135,Morning,Saturday,28.25229826,67.65104062,111.0165395,19.78108389,2.941663235,Level 2,Commuter,35.48907445,9.84968559,Normal
BMW i3,85,Houston,12.04931971,29.46894436,173,Night,Saturday,36.63685216,50.81252241,83.24522143,39.41613092,4,Level 1,Commuter,14.47448814,1.566411562,Long Session
Nissan Leaf,48.79648264,San Francisco,77.05360638,8.388039538,45,Afternoon,Friday,15.14412247,100,144.0139812,22.0694708,1,DC Fast Charger,Casual Driver,53.50425406,30.82144255,Normal
Nissan Leaf,75,Los Angeles,16.85805509,5.114613366,149,Morning,Wednesday,15.22093897,37.69834576,49.38426636,32.01457654,3.680052856,Level 2,Long-Distance Traveler,34.13648987,4.214513773,Long Session
Tesla Model 3,62,Los Angeles,46.80719594,42.41833198,113,Evening,Saturday,49.29876551,100,210.1710972,-0.039079031,1,DC Fast Charger,Commuter,22.27099567,18.72287838,Long Session
Nissan Leaf,75,San Francisco,67.47546614,49.60079965,186,Night,Sunday,63.03594187,100,97.45390493,3.194124642,5,Level 1,Commuter,69.2383401,8.771810598,Normal
Hyundai Kona,62,Chicago,30.71093403,6.352661445,37,Morning,Wednesday,76.12005336,100,18.93451549,27.89517678,0,Level 2,Commuter,162.1955103,7.677733508,Normal
Nissan Leaf,85,Los Angeles,24.66902699,39.64966619,117,Night,Monday,77.80942282,100,212.9403418,-4.44667067,1,Level 1,Casual Driver,11.58494759,3.206973509,Long Session
BMW i3,100,New York,8.713190576,49.27534559,160,Afternoon,Saturday,27.19619601,35.90938659,170.4750541,5.378079584,6,Level 2,Long-Distance Traveler,5.111123514,2.178297644,Normal
BMW i3,85,San Francisco,9.065880815,40.17800199,48,Morning,Tuesday,13.87385811,24.53960025,226.2193632,30.6919838,2.616332483,DC Fast Charger,Casual Driver,4.007561815,3.626352326,Normal
BMW i3,50,Los Angeles,58.73397362,38.6757273,86,Morning,Saturday,83.86192691,100,57.38072425,1.941105156,3,Level 1,Commuter,102.3583693,7.635416571,Long Session
BMW i3,50,Chicago,65.98624913,46.27844331,95,Morning,Wednesday,17.38966714,100,234.9966616,-7.719425911,0,Level 2,Long-Distance Traveler,28.07965385,16.49656228,Normal
Hyundai Kona,62,Los Angeles,74.99970643,25.42512612,108,Night,Tuesday,87.2893058,100,51.82835202,17.80538365,5,DC Fast Charger,Long-Distance Traveler,144.7078742,29.99988257,Normal
Chevy Bolt,100,Houston,17.76943641,23.95824194,115,Evening,Thursday,27.69749249,45.4669289,166.311463,19.70335918,4,DC Fast Charger,Casual Driver,10.68443274,7.107774564,Normal
Tesla Model 3,76.87610038,New York,50.26893407,25.80337235,153,Evening,Saturday,13.48827069,78.87781805,133.9920936,3.042829341,0,DC Fast Charger,Casual Driver,37.51634347,20.10757363,Normal
BMW i3,69.88407425,San Francisco,76.45046499,11.33906316,231,Evening,Wednesday,63.67446344,100,191.937915,10.42464503,2,Level 2,Commuter,39.83083019,19.11261625,Long Session
Nissan Leaf,62,Houston,77.86372676,47.1540098,239,Afternoon,Saturday,56.91742176,100,129.3894111,38.46677945,3,DC Fast Charger,Casual Driver,60.17781988,31.1454907,Normal
BMW i3,100,Chicago,21.89299268,25.37395431,179,Morning,Saturday,80.22553381,100,148.4156117,5.073167724,7,DC Fast Charger,Casual Driver,14.75113866,8.757197072,Long Session
Nissan Leaf,100,Houston,71.28000416,40.61639923,135,Evening,Wednesday,26.15659795,97.43660211,140.4652132,33.05773081,5,Level 2,Casual Driver,50.74566332,17.82000104,Normal
Nissan Leaf,62,Houston,21.82768818,26.50712322,142,Evening,Tuesday,33.25598509,68.46193377,48.04438716,38.65644396,7,Level 1,Casual Driver,45.43233761,2.837599463,Long Session
BMW i3,75,Chicago,62.72316229,30.99702693,120,Morning,Monday,82.84418007,100,282.9423218,32.85273262,7,DC Fast Charger,Casual Driver,22.16817968,25.08926492,Normal
Hyundai Kona,124.3159114,Houston,46.195137,47.87752356,170,Afternoon,Sunday,53.00518533,90.1646579,25.02725726,6.171256709,1,Level 2,Commuter,184.579303,11.54878425,Normal
Nissan Leaf,100,San Francisco,29.34565986,6.871184621,62,Night,Saturday,85.33141902,100,127.0218011,34.06193919,0,Level 1,Long-Distance Traveler,23.10285291,3.814935782,Normal
Nissan Leaf,50,Los Angeles,76.9334219,23.6768555,162,Night,Friday,27.17461533,100,295.8937221,7.941688092,2.591851328,DC Fast Charger,Casual Driver,26.00035626,30.77336876,Normal
BMW i3,62,Houston,59.25460166,46.30637958,106,Night,Thursday,77.03697399,100,167.2975728,35.27145069,7,Level 2,Long-Distance Traveler,35.41868581,14.81365042,Normal
Nissan Leaf,100,San Francisco,37.06292778,40.73006259,184,Morning,Wednesday,7.520444727,44.58337251,98.14598102,16.48370594,2,Level 2,Long-Distance Traveler,37.76306212,9.265731945,Long Session
Nissan Leaf,85,Los Angeles,67.69516175,22.47506874,150,Afternoon,Saturday,22.48839981,100,81.28450038,-7.332648304,6,DC Fast Charger,Casual Driver,83.28175905,27.0780647,Normal
BMW i3,75,Los Angeles,16.41401693,9.638437818,157,Morning,Sunday,36.95028361,58.83563952,188.4714898,18.53871082,7,Level 1,Casual Driver,8.709018509,2.133822201,Long Session
BMW i3,50,Houston,67.00568214,4.092360865,107,Night,Monday,57.67766075,100,276.3684303,-2.724902766,4.122767457,Level 1,Long-Distance Traveler,24.24505652,8.710738678,Long Session
Tesla Model 3,75,San Francisco,70.61729259,26.07041363,181,Evening,Wednesday,86.2260252,100,23.00399875,34.84790798,2.771346484,Level 1,Commuter,306.9783361,9.180248037,Long Session
Hyundai Kona,75,Houston,61.13047583,23.28180496,96,Evening,Saturday,34.89904375,100,58.85531552,7.662649709,1,DC Fast Charger,Long-Distance Traveler,103.8656837,24.45219033,Normal
Hyundai Kona,85,Chicago,22.88203842,29.9892225,144,Evening,Thursday,15.67448547,42.59453067,98.47402709,19.21316449,3,DC Fast Charger,Commuter,23.23662299,9.152815368,Long Session
Nissan Leaf,59.83272651,Los Angeles,12.89488719,40.8840989,92,Night,Friday,31.5491822,53.10074427,183.1712811,28.63760432,2,Level 1,Long-Distance Traveler,7.039797454,1.676335335,Normal
Hyundai Kona,85,Houston,69.16916706,5.557358509,142,Afternoon,Wednesday,41.08904487,100,276.5748192,20.01432447,4,Level 1,Casual Driver,25.00920629,8.991991718,Long Session
Nissan Leaf,50,Los Angeles,33.69034903,9.569245073,123,Night,Saturday,51.28140347,100,171.8961532,-5.27572798,4,Level 1,Commuter,19.59924547,4.379745374,Long Session
Tesla Model 3,100,San Francisco,49.2788374,49.41151926,137,Morning,Tuesday,86.32698824,100,246.3443697,30.08205881,0,Level 1,Long-Distance Traveler,20.00404452,6.406248862,Normal
BMW i3,75,New York,31.21888968,30.02591267,220,Afternoon,Monday,39.51761676,81.142803,242.4855629,39.83142977,3,Level 2,Commuter,12.87453542,7.80472242,Normal
BMW i3,100,Houston,30.65169982,28.52235334,235,Evening,Friday,38.12132999,68.77302981,12.14951668,-4.932743443,1,DC Fast Charger,Casual Driver,252.2874006,12.26067993,Long Session
BMW i3,75,Houston,59.98647673,23.41792115,41,Afternoon,Wednesday,88.09676846,100,281.7637403,15.06062245,0,Level 1,Commuter,21.28963672,7.798241975,Normal
Hyundai Kona,48.05069473,Los Angeles,51.67374779,46.59567841,185,Afternoon,Saturday,55.07217408,100,222.2746667,2.554243803,7,Level 2,Casual Driver,23.24770005,12.91843695,Normal
Tesla Model 3,50,San Francisco,35.90724265,25.60162087,201,Night,Friday,48.88762426,100,93.85786769,33.07675146,6,Level 1,Casual Driver,38.25704071,4.667941545,Normal
Hyundai Kona,85,Chicago,41.60783353,51.55426197,200,Afternoon,Tuesday,54.99764908,100,94.64525016,17.73738779,3,Level 1,Commuter,43.96188236,5.409018359,Normal
Hyundai Kona,62,San Francisco,32.83295683,44.49236614,174,Night,Wednesday,26.65472205,79.61110403,279.898272,5.803389498,1,Level 2,Casual Driver,11.7303178,8.208239208,Normal
Tesla Model 3,50,Houston,57.92445004,38.03816191,69,Morning,Friday,49.87203405,100,64.13545484,1.825449687,1,Level 1,Casual Driver,90.31580144,7.530178505,Normal
Tesla Model 3,100,Chicago,21.65616412,22.45451082,206,Afternoon,Wednesday,78.43462826,100,170.5577254,10.40151143,3,Level 1,Casual Driver,12.69726368,2.815301336,Normal
Tesla Model 3,62,San Francisco,41.01058175,45.3201096,114,Afternoon,Wednesday,73.62283684,100,103.7883061,-4.572249344,3,Level 2,Commuter,39.51368249,10.25264544,Normal
Tesla Model 3,62,New York,79.81869447,38.50973223,86,Afternoon,Friday,86.1117565,100,274.0206539,10.69221009,2,Level 2,Casual Driver,29.12871469,19.95467362,Normal
BMW i3,85,Los Angeles,33.07294951,30.34474845,116,Evening,Wednesday,105.032224,100,164.6828924,-6.514431827,1,Level 2,Long-Distance Traveler,20.08280826,8.268237378,Normal
Chevy Bolt,75,San Francisco,27.84315247,17.00464385,113,Night,Tuesday,47.99218335,85.11638664,79.35497904,7.516861653,7,Level 2,Casual Driver,35.08683741,6.960788118,Long Session
Chevy Bolt,50,San Francisco,28.44077392,42.42512683,221,Night,Friday,13.6672408,70.54878864,398.3647747,27.81313555,0,Level 2,Long-Distance Traveler,7.139379714,7.11019348,Normal
Tesla Model 3,62,New York,68.57302471,5.454692702,232,Evening,Saturday,50.31669101,100,191.4559945,37.89979105,4,Level 1,Commuter,35.81659843,8.914493212,Long Session
Chevy Bolt,85,Houston,65.43101691,20.27269894,214,Night,Sunday,76.46681164,100,71.43600424,30.19970956,6,DC Fast Charger,Long-Distance Traveler,91.59389248,26.17240676,Long Session
Chevy Bolt,75,Los Angeles,71.61568949,31.27184453,150,Morning,Friday,51.79450504,100,16.68144582,-1.719850009,3,Level 2,Casual Driver,429.3134435,17.90392237,Normal
Tesla Model 3,85,San Francisco,7.93090145,44.12212999,231,Evening,Tuesday,42.73907176,52.06954405,55.67750505,16.80835827,7,DC Fast Charger,Casual Driver,14.24435496,3.17236058,Normal
Chevy Bolt,24.59992215,Chicago,44.84346124,21.93654898,103,Night,Tuesday,48.32735368,100,152.259867,23.39846836,5,Level 1,Casual Driver,29.45192461,5.829649961,Normal
Hyundai Kona,75,San Francisco,55.72920335,21.72306732,136,Morning,Tuesday,63.40496814,100,74.05219273,34.66345577,0,Level 2,Casual Driver,75.2566552,13.93230084,Long Session
Nissan Leaf,85,Los Angeles,31.04657496,28.00485915,153,Night,Saturday,47.15786096,83.68324327,152.259867,15.62739592,7,DC Fast Charger,Casual Driver,20.39051759,12.41862998,Long Session
Nissan Leaf,62,San Francisco,15.91756324,17.55162621,227,Evening,Saturday,80.19872331,100,117.79184,15.43580703,0.925276661,DC Fast Charger,Casual Driver,13.51329875,6.367025296,Long Session
Tesla Model 3,100,New York,50.90348236,39.55662109,89,Night,Sunday,54.44920446,100,10.44192923,30.04488288,7,DC Fast Charger,Commuter,487.4911643,20.36139294,Long Session
BMW i3,77.29894529,San Francisco,71.47764853,109.5304862,233,Morning,Sunday,27.57501003,100,197.6456759,28.97677093,3,DC Fast Charger,Casual Driver,36.1645395,28.59105941,Normal
Tesla Model 3,100,San Francisco,74.15366016,31.27742949,132,Morning,Wednesday,12.95698802,87.11064818,91.38484095,35.79315362,0,DC Fast Charger,Long-Distance Traveler,81.14437733,29.66146406,Normal
BMW i3,75,Chicago,46.77551047,21.58005239,148,Morning,Wednesday,77.52375723,100,246.2228513,27.26694562,4,Level 2,Long-Distance Traveler,18.99722558,11.69387762,Normal
Nissan Leaf,95.15365777,New York,8.4696438,41.5193428,52,Night,Thursday,84.39953459,93.30055216,297.5524475,22.1717677,1,Level 2,Long-Distance Traveler,2.846437283,2.11741095,Normal
Tesla Model 3,85,New York,61.69743867,30.78399682,184,Evening,Sunday,84.27365688,100,208.6484696,28.31215671,6,Level 2,Commuter,29.57004132,15.42435967,Normal
Hyundai Kona,62,San Francisco,41.26415505,29.08169093,215,Night,Sunday,64.41936676,100,268.5152778,19.63653157,6,DC Fast Charger,Long-Distance Traveler,15.36752597,16.50566202,Long Session
Chevy Bolt,85,Chicago,6.503953234,25.43476782,66,Afternoon,Wednesday,67.51829977,75.17000946,204.7682814,35.95974295,6,DC Fast Charger,Long-Distance Traveler,3.17625034,2.601581294,Normal
BMW i3,147.3953543,San Francisco,65.89318362,24.83213224,163,Evening,Tuesday,27.38119598,72.08625737,74.92331106,13.41962956,6,Level 1,Long-Distance Traveler,87.94750617,8.566113871,Long Session
Chevy Bolt,50,San Francisco,13.26290902,47.67047064,94,Afternoon,Thursday,24.99894964,51.52476768,220.6738557,31.87333447,3,DC Fast Charger,Commuter,6.010185926,5.305163608,Normal
Chevy Bolt,85,Los Angeles,164.2294647,49.87870861,163,Night,Sunday,59.84918721,100,137.1372569,0.034127145,5,Level 1,Long-Distance Traveler,119.7555415,21.34983041,Normal
Tesla Model 3,62,Los Angeles,27.42595097,21.66501549,207,Evening,Tuesday,74.64716691,100,216.0702778,-4.153203087,5,Level 1,Long-Distance Traveler,12.6930697,3.565373626,Normal
Chevy Bolt,100,Chicago,7.358446629,11.48048586,51,Afternoon,Monday,77.48990309,84.84834972,166.673967,-7.811348602,5,Level 2,Commuter,4.414874598,1.839611657,Normal
Hyundai Kona,100,Houston,36.137269,25.87707579,134,Night,Sunday,48.61219347,84.74946247,48.11698069,32.30733829,1,DC Fast Charger,Casual Driver,75.10294386,14.4549076,Normal
Chevy Bolt,85,Los Angeles,29.16952954,28.50456454,117,Evening,Saturday,64.06837901,98.38547259,241.9981707,42.73966105,5,DC Fast Charger,Long-Distance Traveler,12.05361572,11.66781182,Long Session
Tesla Model 3,85,Houston,43.44537898,30.90240469,182,Morning,Friday,55.70562012,100,38.19901104,19.86952895,5,Level 1,Casual Driver,113.7343031,5.647899267,Normal
Hyundai Kona,100,New York,26.86910961,37.55183663,154,Morning,Monday,28.17984729,55.0489569,289.5682377,7.791379352,3,Level 1,Long-Distance Traveler,9.279025152,3.492984249,Long Session
Nissan Leaf,85,Los Angeles,17.93347917,25.58416842,108,Morning,Saturday,29.95132195,51.04953274,104.3978667,38.36358112,7,DC Fast Charger,Commuter,17.17801305,7.173391668,Long Session
Chevy Bolt,50,Los Angeles,60.47162635,18.96697454,119,Afternoon,Saturday,74.53957948,100,84.37563039,32.83617858,2,Level 1,Casual Driver,71.66954021,7.861311426,Normal
Tesla Model 3,50,Chicago,17.70473747,19.71367994,229,Afternoon,Tuesday,47.80623479,83.21570973,258.6456707,-9.345375215,7,DC Fast Charger,Commuter,6.845170626,7.081894988,Long Session
Nissan Leaf,63.09631665,Houston,47.7140959,40.54427445,80,Night,Wednesday,49.53760262,100,214.4674794,34.27808119,1,DC Fast Charger,Casual Driver,22.24770676,19.08563836,Normal
Nissan Leaf,85,Los Angeles,71.18526462,10.29979972,205,Morning,Friday,36.8840837,100,276.2224925,-4.808919737,6,Level 1,Commuter,25.77098772,9.254084401,Long Session
BMW i3,75,Los Angeles,39.64439032,39.29828911,131,Afternoon,Wednesday,20.41744854,73.27663563,152.259867,22.57201158,6,Level 2,Casual Driver,26.037321,9.91109758,Long Session
Hyundai Kona,62,Chicago,24.84871287,21.73574668,227,Morning,Wednesday,60.66782802,100,260.7073136,11.20346484,3,DC Fast Charger,Casual Driver,9.531268045,9.939485148,Normal
Chevy Bolt,50,Chicago,7.515940356,10.62138589,135,Night,Sunday,61.76280197,76.79468268,126.5918375,9.791242681,6,Level 1,Casual Driver,5.937144531,0.977072246,Normal
Tesla Model 3,75,Houston,64.41904929,24.62165118,222,Evening,Friday,49.17384524,100,230.4942718,25.3204757,2,Level 1,Long-Distance Traveler,27.94822136,8.374476408,Long Session
BMW i3,85,New York,6.189015903,19.71535049,89,Afternoon,Friday,34.60022196,41.88141714,275.7419042,5.72735649,1,Level 1,Casual Driver,2.244495961,0.804572067,Normal
Hyundai Kona,100,New York,37.78790372,25.49593704,135,Afternoon,Monday,88.03875947,100,66.00213032,-0.325339469,1,DC Fast Charger,Casual Driver,57.2525516,15.11516149,Normal
BMW i3,85,San Francisco,9.151234191,23.54604093,65,Evening,Tuesday,71.45097037,82.21712824,223.097349,-1.092333438,1.750299407,DC Fast Charger,Long-Distance Traveler,4.101901808,3.660493676,Normal
Hyundai Kona,93.27378067,Los Angeles,15.66056402,7.702187849,215,Afternoon,Wednesday,30.88322666,47.67311542,202.1415518,29.53906344,2,DC Fast Charger,Long-Distance Traveler,7.747325517,6.264225608,Long Session
Hyundai Kona,50,Houston,35.55367093,45.8556972,233,Night,Tuesday,85.49045253,100,275.5742741,26.1334068,4,Level 1,Commuter,12.90166546,4.621977221,Normal
Chevy Bolt,100,Los Angeles,47.52745876,39.82817553,195,Afternoon,Tuesday,59.93299647,100,139.3837269,18.97982294,3,Level 2,Commuter,34.09828379,11.88186469,Long Session
Hyundai Kona,100,Houston,36.61656862,27.32114694,40,Afternoon,Sunday,66.55511783,100,69.23387008,24.52303877,7,Level 2,Long-Distance Traveler,52.88823025,9.154142155,Normal
BMW i3,50,Houston,65.48719596,37.57728956,41,Evening,Thursday,42.83535123,100,102.2390727,17.52272767,6,DC Fast Charger,Long-Distance Traveler,64.05300268,26.19487838,Normal
Hyundai Kona,85,Houston,33.88719708,18.6042609,199,Night,Monday,40.14074747,80.00803815,267.8436816,-4.160747933,2.778246566,DC Fast Charger,Long-Distance Traveler,12.65185607,13.55487883,Long Session
Chevy Bolt,48.46959856,Los Angeles,47.29002739,40.90897976,68,Morning,Wednesday,28.20501289,100,277.4934201,7.122847044,7,DC Fast Charger,Long-Distance Traveler,17.0418554,18.91601096,Normal
Chevy Bolt,100,Chicago,48.48756787,42.25976743,228,Morning,Saturday,35.88903742,84.37660529,103.9116506,0.534111693,7,Level 2,Long-Distance Traveler,46.66230165,12.12189197,Long Session
BMW i3,75,Los Angeles,15.01016595,39.26256858,168,Evening,Friday,84.2361804,100,220.2005624,19.98563673,6,Level 2,Commuter,6.816588379,3.752541488,Long Session
Nissan Leaf,85,Houston,30.0651389,25.37112113,65,Night,Friday,13.94832346,49.31907511,122.7647597,33.0181713,1,DC Fast Charger,Long-Distance Traveler,24.49004013,12.02605556,Normal
Nissan Leaf,85,San Francisco,74.10645012,21.79091083,81,Evening,Tuesday,33.43975255,100,179.5885267,14.12322246,4,Level 1,Long-Distance Traveler,41.26457937,9.633838516,Normal
Hyundai Kona,62,New York,66.15159679,50.17058595,60,Evening,Monday,75.48580234,100,46.81290396,32.29274612,1,Level 2,Commuter,141.3106028,16.5378992,Normal
Tesla Model 3,100,Houston,47.37743937,48.16033463,62,Morning,Monday,23.63676232,71.01420169,152.259867,8.511630397,4,DC Fast Charger,Casual Driver,31.11617021,18.95097575,Normal
Hyundai Kona,62,San Francisco,45.99296137,30.6035281,170,Night,Wednesday,34.86960938,100,108.6606452,3.849914001,6,Level 2,Commuter,42.32715652,11.49824034,Normal
BMW i3,75,Chicago,48.287872,23.88804244,175,Night,Wednesday,61.86690561,100,208.7545777,-8.036309429,6,Level 1,Commuter,23.13140748,6.27742336,Normal
BMW i3,50,Houston,78.69341922,26.06255637,198,Evening,Tuesday,38.19062073,100,17.2415972,12.73792455,7,Level 1,Long-Distance Traveler,456.4160634,10.2301445,Normal
BMW i3,93.09486955,San Francisco,68.03002486,41.8955168,87,Morning,Tuesday,50.70024741,100,148.0864323,34.79282129,0,Level 2,Casual Driver,45.9394043,17.00750622,Normal
